state,district,pincode,demo_age_5_17,demo_age_17_,total
100000,100000,100000,0,1,1
Andaman and Nicobar Islands,Andamans,744103,0,4,4
Andaman and Nicobar Islands,South Andaman,744107,0,2,2
Andaman and Nicobar Islands,South Andaman,744206,0,2,2
Andaman and Nicobar Islands,Nicobar,744301,1,10,11
Andaman and Nicobar Islands,Nicobar,744302,0,1,1
Andaman and Nicobar Islands,Nicobar,744303,0,2,2
Andaman and Nicobar Islands,Nicobar,744304,0,1,1
Andaman and Nicobar Islands,North And Middle Andaman,744201,0,2,2
Andaman and Nicobar Islands,North And Middle Andaman,744202,1,15,16
Andaman and Nicobar Islands,North And Middle Andaman,744203,0,1,1
Andaman and Nicobar Islands,North And Middle Andaman,744204,0,2,2
Andaman and Nicobar Islands,North And Middle Andaman,744205,0,2,2
Andaman and Nicobar Islands,North And Middle Andaman,744209,0,1,1
Andaman and Nicobar Islands,North And Middle Andaman,744210,0,1,1
Andaman and Nicobar Islands,South Andaman,744101,0,4,4
Andaman and Nicobar Islands,South Andaman,744102,0,2,2
Andaman and Nicobar Islands,South Andaman,744104,0,1,1
Andaman and Nicobar Islands,South Andaman,744105,1,6,7
Andaman and Nicobar Islands,South Andaman,744106,0,3,3
Andaman and Nicobar Islands,South Andaman,744112,0,1,1
Andaman and Nicobar Islands,South Andaman,744207,0,2,2
Andaman and Nicobar Islands,South Andaman,744211,0,1,1
Andhra Pradesh,Adilabad,504103,5,29,34
Andhra Pradesh,Adilabad,504104,1,6,7
Andhra Pradesh,Adilabad,504106,5,29,34
Andhra Pradesh,Adilabad,504110,1,7,8
Andhra Pradesh,Adilabad,504201,3,19,22
Andhra Pradesh,Adilabad,504203,3,16,19
Andhra Pradesh,Adilabad,504205,1,11,12
Andhra Pradesh,Adilabad,504214,1,8,9
Andhra Pradesh,Adilabad,504215,2,16,18
Andhra Pradesh,Adilabad,504218,0,2,2
Andhra Pradesh,Adilabad,504231,1,7,8
Andhra Pradesh,Adilabad,504272,1,7,8
Andhra Pradesh,Adilabad,504292,1,10,11
Andhra Pradesh,Adilabad,504293,4,23,27
Andhra Pradesh,Adilabad,504295,2,15,17
Andhra Pradesh,Adilabad,504296,4,29,33
Andhra Pradesh,Adilabad,504301,1,5,6
Andhra Pradesh,Adilabad,504302,1,7,8
Andhra Pradesh,Adilabad,504303,0,4,4
Andhra Pradesh,Adilabad,504304,2,14,16
Andhra Pradesh,Adilabad,504307,2,19,21
Andhra Pradesh,Adilabad,504312,1,8,9
Andhra Pradesh,Adilabad,504323,1,6,7
Andhra Pradesh,Adilabad,504346,1,12,13
Andhra Pradesh,Alluri Sitharama Raju,507129,1,7,8
Andhra Pradesh,Alluri Sitharama Raju,531024,1,8,9
Andhra Pradesh,Alluri Sitharama Raju,531029,3,13,16
Andhra Pradesh,Alluri Sitharama Raju,531040,3,21,24
Andhra Pradesh,Alluri Sitharama Raju,531077,3,20,23
Andhra Pradesh,Alluri Sitharama Raju,531087,1,6,7
Andhra Pradesh,Alluri Sitharama Raju,531111,3,16,19
Andhra Pradesh,Alluri Sitharama Raju,531151,2,11,13
Andhra Pradesh,Alluri Sitharama Raju,533285,1,7,8
Andhra Pradesh,Alluri Sitharama Raju,533288,1,6,7
Andhra Pradesh,Alluri Sitharama Raju,533295,2,7,9
Andhra Pradesh,Alluri Sitharama Raju,533347,0,2,2
Andhra Pradesh,Alluri Sitharama Raju,533348,0,1,1
Andhra Pradesh,Alluri Sitharama Raju,533349,0,1,1
Andhra Pradesh,Alluri Sitharama Raju,533351,1,0,1
Andhra Pradesh,Alluri Sitharama Raju,533352,0,1,1
Andhra Pradesh,Alluri Sitharama Raju,533428,1,6,7
Andhra Pradesh,Alluri Sitharama Raju,533483,1,5,6
Andhra Pradesh,Anakapalli,530046,8,44,52
Andhra Pradesh,Anakapalli,531001,2,14,16
Andhra Pradesh,Anakapalli,531022,1,3,4
