state,district,pincode,bio_age_5_17,bio_age_17_,total
Andaman and Nicobar Islands,Andamans,744101,7,10,17
Andaman and Nicobar Islands,Nicobar,744301,4,5,9
Andaman and Nicobar Islands,Nicobar,744302,4,2,6
Andaman and Nicobar Islands,Nicobar,744303,7,5,12
Andaman and Nicobar Islands,Nicobar,744304,5,3,8
Andaman and Nicobar Islands,North And Middle Andaman,744201,8,6,14
Andaman and Nicobar Islands,North And Middle Andaman,744202,17,12,29
Andaman and Nicobar Islands,North And Middle Andaman,744203,1,1,2
Andaman and Nicobar Islands,North And Middle Andaman,744204,9,7,16
Andaman and Nicobar Islands,North And Middle Andaman,744205,12,7,19
Andaman and Nicobar Islands,North And Middle Andaman,744209,6,4,10
Andaman and Nicobar Islands,North And Middle Andaman,744210,3,3,6
Andaman and Nicobar Islands,South Andaman,744102,5,3,8
Andaman and Nicobar Islands,South Andaman,744103,7,5,12
Andaman and Nicobar Islands,South Andaman,744104,2,2,4
Andaman and Nicobar Islands,South Andaman,744105,8,5,13
Andaman and Nicobar Islands,South Andaman,744106,3,3,6
Andaman and Nicobar Islands,South Andaman,744107,4,2,6
Andaman and Nicobar Islands,South Andaman,744112,2,1,3
Andaman and Nicobar Islands,South Andaman,744206,3,2,5
Andaman and Nicobar Islands,South Andaman,744207,10,5,15
Andaman and Nicobar Islands,South Andaman,744211,4,3,7
Andhra Pradesh,Adilabad,504102,9,8,17
Andhra Pradesh,Adilabad,504206,4,4,8
Andhra Pradesh,Adilabad,504207,4,4,8
Andhra Pradesh,Adilabad,504208,15,9,24
Andhra Pradesh,Adilabad,504215,7,6,13
Andhra Pradesh,Adilabad,504216,6,5,11
Andhra Pradesh,Adilabad,504219,4,10,14
Andhra Pradesh,Adilabad,504220,1,1,2
Andhra Pradesh,Adilabad,504251,9,12,21
Andhra Pradesh,Adilabad,504294,4,11,15
Andhra Pradesh,Adilabad,504299,18,30,48
Andhra Pradesh,Adilabad,504310,5,6,11
Andhra Pradesh,Adilabad,504312,9,15,24
Andhra Pradesh,Adilabad,504346,9,18,27
Andhra Pradesh,Alluri Sitharama Raju,507135,8,7,15
Andhra Pradesh,Alluri Sitharama Raju,531024,21,17,38
Andhra Pradesh,Alluri Sitharama Raju,531040,46,30,76
Andhra Pradesh,Alluri Sitharama Raju,531118,2,3,5
Andhra Pradesh,Alluri Sitharama Raju,531133,20,11,31
Andhra Pradesh,Alluri Sitharama Raju,531149,35,32,67
Andhra Pradesh,Alluri Sitharama Raju,533295,9,11,20
Andhra Pradesh,Alluri Sitharama Raju,533347,2,1,3
Andhra Pradesh,Alluri Sitharama Raju,533348,2,1,3
Andhra Pradesh,Alluri Sitharama Raju,533351,1,0,1
Andhra Pradesh,Alluri Sitharama Raju,533428,13,14,27
Andhra Pradesh,Alluri Sitharama Raju,533483,11,13,24
Andhra Pradesh,Anakapalli,531001,26,11,37
Andhra Pradesh,Anakapalli,531027,19,9,28
Andhra Pradesh,Anakapalli,531032,16,7,23
Andhra Pradesh,Anakapalli,531055,31,15,46
Andhra Pradesh,Anakapalli,531085,14,8,22
Andhra Pradesh,Anakapalli,531113,21,13,34
Andhra Pradesh,Anakapalli,531116,36,19,55
Andhra Pradesh,Anakapalli,531117,13,7,20
Andhra Pradesh,Anakapalli,531126,26,11,37
Andhra Pradesh,Ananthapur,515110,8,4,12
Andhra Pradesh,Ananthapur,515212,4,3,7
Andhra Pradesh,Ananthapur,515231,12,6,18
Andhra Pradesh,Ananthapur,515271,5,3,8
Andhra Pradesh,Ananthapur,515291,3,2,5
Andhra Pradesh,Ananthapur,515301,9,5,14
Andhra Pradesh,Ananthapur,515305,4,3,7
Andhra Pradesh,Ananthapur,515311,6,5,11
Andhra Pradesh,Ananthapur,515401,21,9,30
Andhra Pradesh,Ananthapur,515405,8,3,11
Andhra Pradesh,Ananthapur,515408,13,5,18
Andhra Pradesh,Ananthapur,515411,24,10,34
Andhra Pradesh,Ananthapur,515425,15,6,21
Andhra Pradesh,Ananthapur,515511,7,4,11
Andhra Pradesh,Ananthapur,515541,5,3,8
Andhra Pradesh,Ananthapur,515556,3,2,5
Andhra Pradesh,Ananthapur,515601,3,2,5
Andhra Pradesh,Ananthapur,515751,12,5,17
Andhra Pradesh,Ananthapur,515765,12,7,19
Andhra Pradesh,Ananthapur,515774,5,3,8
Andhra Pradesh,Ananthapur,515812,19,10,29
Andhra Pradesh,Ananthapur,515832,9,6,15
Andhra Pradesh,Ananthapur,515842,10,6,16
Andhra Pradesh,Ananthapur,515863,8,4,12
Andhra Pradesh,Ananthapur,515865,35,16,51
Andhra Pradesh,Ananthapur,515004,16,9,25
Andhra Pradesh,Ananthapur,515005,2,0,2
Andhra Pradesh,Ananthapur,515122,7,4,11
Andhra Pradesh,Ananthapur,515123,4,5,9
Andhra Pradesh,Ananthapur,515124,3,3,6
Andhra Pradesh,Ananthapur,515144,5,3,8
Andhra Pradesh,Ananthapur,515159,4,2,6
Andhra Pradesh,Ananthapur,515164,2,2,4
Andhra Pradesh,Ananthapur,515211,6,2,8
Andhra Pradesh,Ananthapur,515261,5,3,8
Andhra Pradesh,Ananthapur,515281,7,3,10
Andhra Pradesh,Ananthapur,515321,4,3,7
Andhra Pradesh,Ananthapur,515331,7,4,11
Andhra Pradesh,Ananthapur,515402,9,4,13
Andhra Pradesh,Ananthapur,515414,5,3,8
Andhra Pradesh,Ananthapur,515415,5,2,7
Andhra Pradesh,Ananthapur,515455,10,3,13
Andhra Pradesh,Ananthapur,515465,8,4,12
Andhra Pradesh,Ananthapur,515561,6,3,9
Andhra Pradesh,Ananthapur,515571,8,4,12
Andhra Pradesh,Ananthapur,515621,7,4,11
Andhra Pradesh,Ananthapur,515631,4,3,7
Andhra Pradesh,Ananthapur,515641,9,4,13
Andhra Pradesh,Ananthapur,515661,6,3,9
Andhra Pradesh,Ananthapur,515672,11,6,17
Andhra Pradesh,Ananthapur,515701,15,8,23
Andhra Pradesh,Ananthapur,515711,10,3,13
Andhra Pradesh,Ananthapur,515741,10,5,15
Andhra Pradesh,Ananthapur,515761,20,10,30
Andhra Pradesh,Ananthapur,515767,11,4,15
Andhra Pradesh,Ananthapur,515787,8,3,11
Andhra Pradesh,Ananthapur,515801,27,15,42
Andhra Pradesh,Ananthapur,515803,6,4,10
Andhra Pradesh,Ananthapur,515822,6,4,10
Andhra Pradesh,Ananthapur,515867,9,4,13
Andhra Pradesh,Ananthapur,515871,27,13,40
Andhra Pradesh,Ananthapuramu,515001,38,22,60
Andhra Pradesh,Ananthapuramu,515002,6,5,11
Andhra Pradesh,Ananthapuramu,515003,2,1,3
Andhra Pradesh,Ananthapuramu,515101,5,4,9
Andhra Pradesh,Ananthapuramu,515133,3,2,5
Andhra Pradesh,Ananthapuramu,515134,7,3,10
Andhra Pradesh,Ananthapuramu,515154,4,2,6
Andhra Pradesh,Ananthapuramu,515303,3,2,5
Andhra Pradesh,Ananthapuramu,515341,2,2,4
Andhra Pradesh,Ananthapuramu,515413,1,0,1
Andhra Pradesh,Ananthapuramu,515435,4,2,6
Andhra Pradesh,Ananthapuramu,515445,7,3,10
Andhra Pradesh,Ananthapuramu,515501,6,3,9
Andhra Pradesh,Ananthapuramu,515531,4,2,6
Andhra Pradesh,Ananthapuramu,515611,5,3,8
Andhra Pradesh,Ananthapuramu,515651,4,3,7
Andhra Pradesh,Ananthapuramu,515671,20,10,30
Andhra Pradesh,Ananthapuramu,515721,4,4,8
Andhra Pradesh,Ananthapuramu,515722,7,4,11
Andhra Pradesh,Ananthapuramu,515731,10,5,15
Andhra Pradesh,Ananthapuramu,515763,7,4,11
Andhra Pradesh,Ananthapuramu,515766,13,7,20
Andhra Pradesh,Ananthapuramu,515775,15,10,25
Andhra Pradesh,Ananthapuramu,515870,12,6,18
Andhra Pradesh,Ananthapuramu,515872,7,3,10
Andhra Pradesh,Annamayya,516101,23,15,38
Andhra Pradesh,Annamayya,516269,38,16,54
Andhra Pradesh,Annamayya,517214,24,12,36
Andhra Pradesh,Annamayya,517319,7,3,10
Andhra Pradesh,Annamayya,517325,62,27,89
Andhra Pradesh,Annamayya,517326,1,0,1
Andhra Pradesh,Annamayya,517370,16,8,24
Andhra Pradesh,Bapatla,522101,27,14,41
Andhra Pradesh,Bapatla,522314,12,5,17
Andhra Pradesh,Bapatla,523135,7,4,11
Andhra Pradesh,Bapatla,523303,17,9,26
Andhra Pradesh,Chittoor,517001,44,26,70
Andhra Pradesh,Chittoor,517002,22,13,35
Andhra Pradesh,Chittoor,517004,21,11,32
Andhra Pradesh,Chittoor,517101,7,3,10
Andhra Pradesh,Chittoor,517102,9,4,13
Andhra Pradesh,Chittoor,517113,11,5,16
Andhra Pradesh,Chittoor,517123,14,7,21
Andhra Pradesh,Chittoor,517124,20,7,27
Andhra Pradesh,Chittoor,517125,18,9,27
Andhra Pradesh,Chittoor,517126,22,9,31
Andhra Pradesh,Chittoor,517127,19,9,28
Andhra Pradesh,Chittoor,517128,11,7,18
Andhra Pradesh,Chittoor,517129,17,10,27
Andhra Pradesh,Chittoor,517130,19,8,27
Andhra Pradesh,Chittoor,517131,19,11,30
Andhra Pradesh,Chittoor,517132,23,11,34
Andhra Pradesh,Chittoor,517152,7,4,11
Andhra Pradesh,Chittoor,517167,29,10,39
Andhra Pradesh,Chittoor,517172,11,5,16
Andhra Pradesh,Chittoor,517192,12,7,19
Andhra Pradesh,Chittoor,517193,5,3,8
Andhra Pradesh,Chittoor,517194,10,6,16
Andhra Pradesh,Chittoor,517213,11,6,17
Andhra Pradesh,Chittoor,517234,15,7,22
Andhra Pradesh,Chittoor,517235,7,3,10
Andhra Pradesh,Chittoor,517236,10,4,14
Andhra Pradesh,Chittoor,517237,6,3,9
Andhra Pradesh,Chittoor,517247,79,47,126
Andhra Pradesh,Chittoor,517257,44,19,63
Andhra Pradesh,Chittoor,517277,6,3,9
Andhra Pradesh,Chittoor,517280,10,5,15
Andhra Pradesh,Chittoor,517291,6,3,9
Andhra Pradesh,Chittoor,517297,19,8,27
Andhra Pradesh,Chittoor,517299,9,5,14
Andhra Pradesh,Chittoor,517305,5,3,8
Andhra Pradesh,Chittoor,517330,1,0,1
Andhra Pradesh,Chittoor,517350,9,6,15
Andhra Pradesh,Chittoor,517351,6,4,10
Andhra Pradesh,Chittoor,517352,4,2,6
Andhra Pradesh,Chittoor,517390,9,4,13
Andhra Pradesh,Chittoor,517391,11,5,16
Andhra Pradesh,Chittoor,517401,28,13,41
Andhra Pradesh,Chittoor,517403,7,3,10
Andhra Pradesh,Chittoor,517408,71,32,103
Andhra Pradesh,Chittoor,517414,14,8,22
Andhra Pradesh,Chittoor,517415,28,11,39
Andhra Pradesh,Chittoor,517416,25,11,36
Andhra Pradesh,Chittoor,517417,17,7,24
Andhra Pradesh,Chittoor,517418,8,5,13
Andhra Pradesh,Chittoor,517419,16,9,25
Andhra Pradesh,Chittoor,517421,18,8,26
Andhra Pradesh,Chittoor,517422,24,13,37
Andhra Pradesh,Chittoor,517423,40,21,61
Andhra Pradesh,Chittoor,517424,62,26,88
Andhra Pradesh,Chittoor,517425,129,52,181
Andhra Pradesh,Chittoor,517426,4,1,5
Andhra Pradesh,Chittoor,517429,17,7,24
Andhra Pradesh,Chittoor,517432,37,15,52
Andhra Pradesh,Chittoor,517501,62,38,100
Andhra Pradesh,Chittoor,517503,10,7,17
Andhra Pradesh,Chittoor,517504,3,2,5
Andhra Pradesh,Chittoor,517505,12,7,19
Andhra Pradesh,Chittoor,517506,2,1,3
Andhra Pradesh,Chittoor,517507,20,12,32
Andhra Pradesh,Chittoor,517520,18,8,26
Andhra Pradesh,Chittoor,517526,7,4,11
Andhra Pradesh,Chittoor,517536,8,5,13
Andhra Pradesh,Chittoor,517541,12,5,17
Andhra Pradesh,Chittoor,517561,11,6,17
Andhra Pradesh,Chittoor,517569,20,10,30
Andhra Pradesh,Chittoor,517571,5,3,8
Andhra Pradesh,Chittoor,517581,11,7,18
Andhra Pradesh,Chittoor,517582,26,13,39
Andhra Pradesh,Chittoor,517583,14,11,25
Andhra Pradesh,Chittoor,517584,4,3,7
Andhra Pradesh,Chittoor,517586,12,5,17
Andhra Pradesh,Chittoor,517587,10,4,14
Andhra Pradesh,Chittoor,517588,10,6,16
Andhra Pradesh,Chittoor,517589,12,5,17
Andhra Pradesh,Chittoor,517590,30,15,45
Andhra Pradesh,Chittoor,517591,14,6,20
