state,district,pincode,age_0_5,age_5_17,age_18_greater,total
100000,100000,100000,0,0,10,10
Andaman & Nicobar Islands,Andamans,744101,1,0,0,1
Andaman & Nicobar Islands,Andamans,744103,1,0,0,1
Andaman & Nicobar Islands,Andamans,744105,1,0,0,1
Andaman & Nicobar Islands,Andamans,744106,1,0,0,1
Andaman & Nicobar Islands,Andamans,744107,1,0,0,1
Andaman & Nicobar Islands,Andamans,744206,1,0,0,1
Andaman & Nicobar Islands,Andamans,744207,1,0,0,1
Andaman & Nicobar Islands,Nicobars,744301,2,0,0,2
Andaman & Nicobar Islands,South Andaman,744102,1,0,0,1
Andaman and Nicobar Islands,Nicobar,744302,1,0,0,1
Andaman and Nicobar Islands,Nicobar,744303,1,0,0,1
Andaman and Nicobar Islands,Nicobar,744304,1,0,0,1
Andaman and Nicobar Islands,North And Middle Andaman,744201,1,0,0,1
Andaman and Nicobar Islands,North And Middle Andaman,744202,1,0,0,1
Andaman and Nicobar Islands,North And Middle Andaman,744203,1,0,0,1
Andaman and Nicobar Islands,North And Middle Andaman,744204,1,0,0,1
Andaman and Nicobar Islands,North And Middle Andaman,744205,1,0,0,1
Andaman and Nicobar Islands,North And Middle Andaman,744209,1,0,0,1
Andaman and Nicobar Islands,North And Middle Andaman,744210,1,0,0,1
Andaman and Nicobar Islands,South Andaman,744104,1,0,0,1
Andaman and Nicobar Islands,South Andaman,744112,2,0,0,2
Andhra Pradesh,Adilabad,504001,5,1,0,6
Andhra Pradesh,Adilabad,504101,1,0,0,1
Andhra Pradesh,Adilabad,504102,2,0,0,2
Andhra Pradesh,Adilabad,504103,2,0,0,2
Andhra Pradesh,Adilabad,504104,2,0,0,2
Andhra Pradesh,Adilabad,504105,1,0,0,1
Andhra Pradesh,Adilabad,504106,3,0,0,3
Andhra Pradesh,Adilabad,504109,1,0,0,1
Andhra Pradesh,Adilabad,504201,1,0,0,1
Andhra Pradesh,Adilabad,504203,2,0,0,2
Andhra Pradesh,Adilabad,504204,1,0,0,1
Andhra Pradesh,Adilabad,504205,1,0,0,1
Andhra Pradesh,Adilabad,504206,1,0,0,1
Andhra Pradesh,Adilabad,504207,1,0,0,1
Andhra Pradesh,Adilabad,504208,2,0,0,2
Andhra Pradesh,Adilabad,504209,1,0,0,1
Andhra Pradesh,Adilabad,504214,1,0,0,1
Andhra Pradesh,Adilabad,504215,1,0,0,1
Andhra Pradesh,Adilabad,504216,1,0,0,1
Andhra Pradesh,Adilabad,504219,1,0,0,1
Andhra Pradesh,Adilabad,504220,1,0,0,1
Andhra Pradesh,Adilabad,504231,1,0,0,1
Andhra Pradesh,Adilabad,504251,2,0,0,2
Andhra Pradesh,Adilabad,504272,1,0,0,1
Andhra Pradesh,Adilabad,504273,1,0,0,1
Andhra Pradesh,Adilabad,504292,2,1,0,3
Andhra Pradesh,Adilabad,504293,2,0,0,2
Andhra Pradesh,Adilabad,504294,1,0,0,1
Andhra Pradesh,Adilabad,504295,1,1,0,2
Andhra Pradesh,Adilabad,504296,2,0,0,2
Andhra Pradesh,Adilabad,504299,2,1,0,3
Andhra Pradesh,Adilabad,504301,1,0,0,1
Andhra Pradesh,Adilabad,504302,1,0,0,1
Andhra Pradesh,Adilabad,504303,1,0,0,1
Andhra Pradesh,Adilabad,504304,3,0,0,3
Andhra Pradesh,Adilabad,504306,1,0,0,1
Andhra Pradesh,Adilabad,504307,2,0,0,2
Andhra Pradesh,Adilabad,504308,2,0,0,2
Andhra Pradesh,Adilabad,504309,3,0,0,3
Andhra Pradesh,Adilabad,504310,2,0,0,2
Andhra Pradesh,Adilabad,504311,2,1,0,3
Andhra Pradesh,Adilabad,504312,2,1,0,3
Andhra Pradesh,Adilabad,504313,2,0,0,2
Andhra Pradesh,Adilabad,504346,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,507111,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,507121,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,507129,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,507134,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,507135,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,531024,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,531029,4,1,0,5
Andhra Pradesh,Alluri Sitharama Raju,531030,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,531040,3,0,0,3
Andhra Pradesh,Alluri Sitharama Raju,531077,3,0,0,3
Andhra Pradesh,Alluri Sitharama Raju,531084,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,531087,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,531105,2,1,0,3
Andhra Pradesh,Alluri Sitharama Raju,531110,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,531111,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,531114,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,531116,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,531118,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,531133,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,531149,3,0,0,3
Andhra Pradesh,Alluri Sitharama Raju,531151,4,0,0,4
Andhra Pradesh,Alluri Sitharama Raju,533284,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533285,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533286,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,533288,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533295,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533339,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533347,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533348,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533352,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533428,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,533429,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,533436,1,0,0,1
Andhra Pradesh,Alluri Sitharama Raju,533483,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,535145,2,0,0,2
Andhra Pradesh,Alluri Sitharama Raju,535273,2,0,0,2
Andhra Pradesh,Anakapalli,530046,2,0,0,2
Andhra Pradesh,Anakapalli,531001,2,0,0,2
Andhra Pradesh,Anakapalli,531002,2,0,0,2
Andhra Pradesh,Anakapalli,531011,2,0,0,2
Andhra Pradesh,Anakapalli,531019,1,0,0,1
Andhra Pradesh,Anakapalli,531020,1,0,0,1
Andhra Pradesh,Anakapalli,531021,1,0,0,1
