state,demographic_total,biometric_total,enrollment_total,total_updates,update_load_ratio
Telangana,5547,8424.0,93.0,13971.0,150.2258064516129
Ladakh,35,37.0,1.0,72.0,72.0
Daman and Diu,12,34.0,1.0,46.0,46.0
Chhattisgarh,15071,22854.0,1297.0,37925.0,29.240555127216656
Chandigarh,695,823.0,53.0,1518.0,28.641509433962263
Maharashtra,46650,94695.0,5366.0,141345.0,26.340849795005592
Delhi,12936,12886.0,1115.0,25822.0,23.158744394618836
Haryana,11326,17984.0,1400.0,29310.0,20.935714285714287
Punjab,8384,18462.0,1290.0,26846.0,20.810852713178296
Manipur,2124,2220.0,216.0,4344.0,20.11111111111111
Tripura,1264,2859.0,207.0,4123.0,19.917874396135264
Tamil Nadu,22635,52616.0,3879.0,75251.0,19.39958752255736
Uttarakhand,4636,8368.0,674.0,13004.0,19.293768545994066
Odisha,9923,23433.0,2008.0,33356.0,16.611553784860558
Jammu and Kashmir,3751,7663.0,702.0,11414.0,16.25925925925926
Mizoram,463,1553.0,126.0,2016.0,16.0
Andhra Pradesh,18551,32534.0,3274.0,51085.0,15.603237629810629
Jharkhand,12484,18949.0,2023.0,31433.0,15.53781512605042
Kerala,8883,20977.0,2000.0,29860.0,14.93
Rajasthan,29789,48169.0,5288.0,77958.0,14.742435703479577
Goa,430,913.0,94.0,1343.0,14.287234042553191
Uttar Pradesh,86215,102654.0,13569.0,188869.0,13.919153953865429
Madhya Pradesh,29123,64422.0,6773.0,93545.0,13.811457256754762
Andaman and Nicobar Islands,69,227.0,23.0,296.0,12.869565217391305
Gujarat,17513,32926.0,4122.0,50439.0,12.236535662299854
Himachal Pradesh,1918,5151.0,578.0,7069.0,12.230103806228374
Bihar,43964,50950.0,7977.0,94914.0,11.89845806694246
Karnataka,13315,22812.0,3092.0,36127.0,11.684023285899094
West Bengal,28878,22986.0,4854.0,51864.0,10.684796044499382
Pondicherry,65,355.0,40.0,420.0,10.5
Lakshadweep,19,75.0,9.0,94.0,10.444444444444445
Arunachal Pradesh,364,793.0,114.0,1157.0,10.149122807017545
Sikkim,113,169.0,43.0,282.0,6.558139534883721
Nagaland,337,1123.0,224.0,1460.0,6.517857142857143
Dadra and Nagar Haveli and Daman and Diu,32,0.0,5.0,32.0,6.4
Dadra and Nagar Haveli,12,65.0,13.0,77.0,5.923076923076923
Assam,8839,10524.0,3371.0,19363.0,5.743992880450905
Meghalaya,877,1098.0,1468.0,1975.0,1.345367847411444
Puducherry,109,0.0,0.0,109.0,0.0
Westbengal,3,0.0,0.0,3.0,0.0
